DATE,VOLUME,OPEN,HIGH,LOW,CLOSE
01-01-2024,1743811200000.0,83659.7437,83859.0792,83648.2919,83852.0077
02-01-2024,1743813000000.0,83827.8721,83827.8721,83625.8027,83713.831
03-01-2024,1743814800000.0,83728.4821,83728.4821,83490.4818,83680.7329
04-01-2024,1743816600000.0,83784.566,84123.3101,83784.566,84123.3101
05-01-2024,1743818400000.0,84173.482,84173.482,83927.9189,83931.9531
06-01-2024,1743820200000.0,83958.7238,84000.014,83877.8286,83930.4713
07-01-2024,1743822000000.0,83752.2572,84039.6529,83752.2572,83918.8983
08-01-2024,1743823800000.0,83944.7555,83944.7555,83789.4527,83796.8363
09-01-2024,1743825600000.0,83698.6491,83734.1057,83616.7318,83616.7318
10-01-2024,1743827400000.0,83754.3803,83781.019,83734.8666,83738.3217
11-01-2024,1743829200000.0,83808.7367,83808.7367,83645.1023,83645.1023
12-01-2024,1743831000000.0,83658.7739,83785.5808,83625.6939,83785.5808
13-01-2024,1743832800000.0,83835.3229,83835.3229,83679.9185,83679.9185
14-01-2024,1743834600000.0,83674.1926,83674.1926,83621.0604,83621.0604
15-01-2024,1743836400000.0,83602.2714,83602.2714,83349.1977,83413.5012
16-01-2024,1743838200000.0,83455.5686,83455.5686,83353.2125,83426.9062
17-01-2024,1743840000000.0,83464.963,83511.1753,83407.5424,83466.7448
18-01-2024,1743841800000.0,83491.7115,83591.5693,83422.8732,83480.0115
19-01-2024,1743843600000.0,83455.414,83523.418,83455.414,83515.3553
20-01-2024,1743845400000.0,83508.2623,83718.0245,83508.2623,83645.3467
21-01-2024,1743847200000.0,83690.6328,83787.599,83675.5664,83787.599
22-01-2024,1743849000000.0,83853.6941,83853.6941,83695.0543,83695.0543
23-01-2024,1743850800000.0,83706.626,83706.626,83583.9457,83634.3776
24-01-2024,1743852600000.0,83642.026,83649.7812,83567.8402,83649.7812
25-01-2024,1743854400000.0,83640.5175,83640.5175,83444.21,83455.3284
26-01-2024,1743856200000.0,83421.5854,83503.6183,83421.5854,83435.9293
27-01-2024,1743858000000.0,83406.2855,83406.2855,83132.437,83222.73
28-01-2024,1743859800000.0,83241.3557,83282.3856,82686.2915,82686.2915
29-01-2024,1743861600000.0,82775.6192,82778.3143,82497.9255,82612.0
30-01-2024,1743863400000.0,82718.1076,82907.0897,82712.6522,82907.0897
31-01-2024,1743865200000.0,82844.8985,82997.3703,82797.27,82997.3703
01-02-2024,1743867000000.0,82907.9923,82907.9923,82693.4213,82704.3129
02-02-2024,1743868800000.0,82599.0324,82599.0324,82394.9147,82544.8122
03-02-2024,1743870600000.0,82623.629,82718.1559,82577.1023,82577.1023
04-02-2024,1743872400000.0,82675.3229,82777.156,82636.6444,82636.6444
05-02-2024,1743874200000.0,82734.0895,82835.7712,82657.9291,82835.7712
06-02-2024,1743876000000.0,82866.2807,82894.0034,82851.8103,82859.3903
07-02-2024,1743877800000.0,82819.7216,83040.1476,82819.7216,82940.8156
08-02-2024,1743879600000.0,82956.3997,83032.5395,82903.1595,83032.5395
09-02-2024,1743881400000.0,83065.203,83107.8635,83004.2428,83044.2164
10-02-2024,1743883200000.0,83024.7923,83024.7923,82732.7601,82765.6395
11-02-2024,1743885000000.0,82842.6581,82984.8345,82842.6581,82976.6006
12-02-2024,1743886800000.0,83004.1668,83004.1668,82913.8684,83003.6538
13-02-2024,1743888600000.0,83048.8203,83105.4097,83013.0988,83105.4097
14-02-2024,1743890400000.0,83160.4438,83160.4438,82921.8176,82921.8176
15-02-2024,1743892200000.0,82909.5813,83099.6017,82909.5813,82991.8634
16-02-2024,1743894000000.0,82960.2997,83136.4557,82960.2997,83136.4557
17-02-2024,1743895800000.0,83167.5179,83232.5063,83154.497,83154.497
